2014,2015,2016,2017,2018,2019,2014 %,2015 %,2016 %,2017 %,2018 %,2019 %
299.0,251.0,493.0,424.0,455.0,661.0,0.020827528559487322,0.011701631701631701,0.021199741990969682,0.016854825886468437,0.015784908933217694,0.01752293091564604
307.0,427.0,506.0,479.0,539.0,687.0,0.021384786848704374,0.019906759906759906,0.021758761556654484,0.01904118301796788,0.0186990459670425,0.018212183871480832
361.0,396.0,508.0,570.0,581.0,671.0,0.025146280300919477,0.018461538461538463,0.021844764566759836,0.022658610271903322,0.0201561144839549,0.01778802820635173
354.0,405.0,529.0,507.0,545.0,674.0,0.024658679297854556,0.01888111888111888,0.022747796172866052,0.020154237557640325,0.018907198612315698,0.017867557393563438
294.0,416.0,526.0,491.0,578.0,701.0,0.020479242128726666,0.019393939393939394,0.02261879165770802,0.019518206392113213,0.0200520381613183,0.018583320078468798
321.0,407.0,481.0,515.0,569.0,733.0,0.022359988854834215,0.018974358974358976,0.02068372393033756,0.02047225314040388,0.019739809193408498,0.019431631408727
346.0,423.0,476.0,512.0,547.0,675.0,0.024101421008637502,0.01972027972027972,0.020468716405074177,0.020352997296867546,0.018976582827406763,0.017894067122634007
331.0,386.0,467.0,446.0,563.0,594.0,0.02305656171635553,0.017995337995337996,0.020081702859600085,0.017729368739068215,0.0195316565481353,0.015746779067917927
336.0,410.0,527.0,475.0,621.0,698.0,0.02340484814711619,0.019114219114219115,0.022661793162760697,0.0188821752265861,0.021543798785776235,0.01850379089125709
285.0,405.0,485.0,510.0,644.0,691.0,0.01985232655335748,0.01888111888111888,0.02085572995054827,0.020273493401176658,0.022341717259323504,0.01831822278776311
280.0,383.0,453.0,476.0,602.0,683.0,0.019504040122596825,0.017855477855477857,0.01947968178886261,0.018921927174431547,0.0208846487424111,0.018106144955198557
278.0,402.0,352.0,477.0,580.0,694.0,0.01936472555029256,0.018741258741258742,0.015136529778542249,0.018961679122276993,0.020121422376409365,0.018397751974974817
289.0,352.0,421.0,476.0,496.0,685.0,0.020130955697966007,0.01641025641025641,0.01810363362717695,0.018921927174431547,0.01720728534258456,0.018159164413339694
281.0,390.0,392.0,481.0,516.0,721.0,0.019573697408748956,0.01818181818181818,0.016856589980649324,0.019120686913658768,0.01790112749349523,0.019113514659880176
318.0,398.0,397.0,474.0,614.0,835.0,0.02215101699637782,0.018554778554778554,0.01707159750591271,0.01884242327874066,0.0213009540329575,0.022135623773925032
259.0,418.0,413.0,530.0,562.0,747.0,0.01804123711340206,0.019487179487179488,0.017759621586755536,0.021068532358085545,0.019496964440589765,0.019802767615714967
286.0,456.0,382.0,526.0,529.0,829.0,0.019921983839509612,0.02125874125874126,0.016426574930122555,0.02090952456670377,0.018352124891587163,0.021976565399501616
284.0,398.0,433.0,532.0,528.0,830.0,0.01978266926720535,0.018554778554778554,0.018619651687809075,0.021148036253776436,0.018317432784041632,0.022003075128572185
305.0,393.0,430.0,557.0,548.0,752.0,0.021245472276400112,0.01832167832167832,0.01849064717265104,0.022141834949912547,0.019011274934952298,0.01993531626106781
316.0,406.0,388.0,542.0,517.0,764.0,0.02201170242407356,0.018927738927738927,0.016684583960438617,0.021545555732230878,0.017935819601040764,0.02025343300991464
323.0,402.0,430.0,494.0,546.0,746.0,0.02249930342713848,0.018741258741258742,0.01849064717265104,0.019637462235649546,0.018941890719861233,0.0197762578866444
293.0,376.0,407.0,446.0,449.0,687.0,0.020409584842574532,0.01752913752913753,0.017501612556439474,0.017729368739068215,0.015576756287944492,0.018212183871480832
290.0,366.0,452.0,535.0,604.0,783.0,0.020200612984118137,0.017062937062937062,0.019436680283809932,0.02126729209731277,0.02095403295750217,0.020757117862255446
279.0,368.0,378.0,551.0,571.0,869.0,0.01943438283644469,0.017156177156177156,0.016254568909911848,0.02190332326283988,0.019809193408499567,0.023036954562324373
273.0,383.0,416.0,529.0,586.0,859.0,0.0190164391195319,0.017855477855477857,0.017888626101913566,0.021028780410240103,0.020329575021682568,0.022771857271618685
264.0,425.0,391.0,521.0,566.0,899.0,0.01838952354416272,0.019813519813519812,0.016813588475596646,0.020710764827476545,0.0196357328707719,0.02383224643444144
266.0,402.0,390.0,370.0,429.0,703.0,0.01852883811646698,0.018741258741258742,0.01677058697054397,0.014708220702814438,0.014882914137033824,0.018636339536609935
257.0,429.0,442.0,501.0,527.0,837.0,0.0179019225410978,0.02,0.019006665233283166,0.01991572587056766,0.018282740676496097,0.02218864323206617
232.0,385.0,430.0,500.0,568.0,817.0,0.016160490387294512,0.017948717948717947,0.01849064717265104,0.019875973922722213,0.019705117085862967,0.02165844865065479
208.0,426.0,432.0,509.0,526.0,815.0,0.014488715519643355,0.01986013986013986,0.018576650182756397,0.020233741453331212,0.018248048568950563,0.021605429192513653
188.0,394.0,412.0,470.0,492.0,813.0,0.013095569796600724,0.01836829836829837,0.01771662008170286,0.01868341548735888,0.017068516912402427,0.021552409734372516
236.0,460.0,364.0,469.0,474.0,743.0,0.016439119531903038,0.021445221445221447,0.01565254783917437,0.018643663539513435,0.016444058976582826,0.019696728699432692
189.0,464.0,355.0,651.0,458.0,730.0,0.013165227082752856,0.02163170163170163,0.01526553429370028,0.025878518047384322,0.015888985255854294,0.019352102221515295
212.0,450.0,387.0,430.0,505.0,724.0,0.014767344664251881,0.02097902097902098,0.01664158245538594,0.017093337573541104,0.017519514310494363,0.019193043847091883
233.0,448.0,419.0,418.0,465.0,686.0,0.016230147673446643,0.020885780885780886,0.0180176306170716,0.01661631419939577,0.016131830008673027,0.018185674142410263
256.0,442.0,437.0,406.0,502.0,651.0,0.01783226525494567,0.020606060606060607,0.01879165770801978,0.016139290825250438,0.017415437987857763,0.017257833624940353
298.0,422.0,485.0,464.0,425.0,821.0,0.020757871273335192,0.019673659673659673,0.02085572995054827,0.018444903800286214,0.014744145706851692,0.021764487566937066
285.0,437.0,535.0,517.0,529.0,799.0,0.01985232655335748,0.020372960372960373,0.02300580520318211,0.02055175703609477,0.018352124891587163,0.02118127352738455
267.0,437.0,523.0,586.0,542.0,873.0,0.018598495402619115,0.020372960372960373,0.02248978714254999,0.023294641437430434,0.0188031222896791,0.023142993478606648
286.0,462.0,523.0,445.0,614.0,843.0,0.019921983839509612,0.021538461538461538,0.02248978714254999,0.01768961679122277,0.0213009540329575,0.022347701606489582
322.0,457.0,531.0,439.0,614.0,838.0,0.02242964614098635,0.021305361305361304,0.022833799182971404,0.017451105104150103,0.0213009540329575,0.022215152961136738
277.0,400.0,542.0,508.0,650.0,770.0,0.01929506826414043,0.018648018648018648,0.02330681573855085,0.02019398950548577,0.022549869904596703,0.020412491384338052
258.0,445.0,525.0,468.0,602.0,775.0,0.01797157982724993,0.020745920745920746,0.02257579015265534,0.018603911591667993,0.0208846487424111,0.020545040029690896
287.0,433.0,556.0,477.0,672.0,809.0,0.019991641125661746,0.020186480186480185,0.023908836809288327,0.018961679122276993,0.023313096270598438,0.02144637081809024
262.0,420.0,545.0,480.0,689.0,504.0,0.018250208971858455,0.019580419580419582,0.02343582025370888,0.019080934965813326,0.023902862098872508,0.013360903451566725
285.0,408.0,495.0,472.0,674.0,32.0,0.01985232655335748,0.01902097902097902,0.021285745001075038,0.01876291938304977,0.023382480485689507,0.0008483113302582047
274.0,409.0,360.0,346.0,485.0,742.0,0.019086096405684035,0.019067599067599066,0.015480541818963663,0.013754173954523772,0.016825672159583693,0.019670218970362124
183.0,322.0,438.0,492.0,674.0,558.0,0.012747283365840066,0.015011655011655013,0.01883465921307246,0.01955795833995866,0.023382480485689507,0.014792428821377445
286.0,418.0,479.0,533.0,685.0,775.0,0.019921983839509612,0.019487179487179488,0.02059772092023221,0.021187788201621878,0.023764093668690374,0.020545040029690896
274.0,467.0,465.0,453.0,640.0,734.0,0.019086096405684035,0.02177156177156177,0.019995699849494734,0.018007632373986324,0.02220294882914137,0.01945814113779757
266.0,426.0,311.0,424.0,587.0,728.0,0.01852883811646698,0.01986013986013986,0.013373468071382498,0.016854825886468437,0.020364267129228102,0.019299082763374158
117.0,325.0,255.0,252.0,341.0,434.0,0.008149902479799387,0.015151515151515152,0.010965383788432596,0.010017490857051996,0.011830008673026887,0.011505222416626902
